Feature Category,Feature Name,Description,Supabase Support,Priority,Status for MVP,Implementation Difficulty,Notes,Estimated Dev Time
Authentication,User Registration,Customer/Employee/Owner registration,Full Support,High,Include,Easy,Built-in Supabase Auth,1 day
Authentication,Login/Logout,Email/password login,Full Support,High,Include,Easy,Built-in Supabase Auth,1 day
Authentication,Password Reset,Forgot password flow,Full Support,High,Include,Easy,Built-in Supabase Auth,0.5 day
Authentication,Email Verification,Verify email on signup,Full Support,Medium,Include,Easy,Built-in Supabase Auth,0.5 day
Authentication,Role-Based Access,Customer/Employee/Owner roles,Full Support,High,Include,Medium,Use RLS policies,2 days
Authentication,Social Login,Google/Facebook login,Partial Support,Low,Add Later,Medium,Need OAuth setup,2 days
Customer - Explore,Location Selection,Choose city/location,Full Support,High,Include,Easy,Simple dropdown from cities table,1 day
Customer - Explore,Featured Services,Display featured services,Full Support,High,Include,Easy,Query services with featured=true,1 day
Customer - Explore,Standard Services,Display service grid,Full Support,High,Include,Easy,Query all services,1 day
Customer - Explore,More Services Modal,Search all services,Full Support,Medium,Include,Easy,Full-text search in PostgreSQL,1 day
Customer - Explore,Top Salons Near You,Display salon cards,Full Support,High,Include,Easy,Query salons with pagination,1 day
Customer - Explore,Salon Services Popup,Book Now modal with services,Full Support,High,Include,Easy,Load salon.services on click,1 day
Customer - Explore,Previous Bookings Card,Link to booking history,Full Support,Medium,Include,Easy,Simple navigation link,0.5 day
Customer - Explore,Promotions Card,Link to promotions page,Full Support,Low,Include,Easy,Simple navigation link,0.5 day
Customer - Explore,Notification Badge,Unread notification count,Full Support,High,Include,Easy,Count unread notifications,1 day
Customer - Explore,Search Bar,Navigate to search page,Full Support,High,Include,Easy,Navigation trigger,0.5 day
Customer - Appointment,Service Selection,Select services for booking,Full Support,High,Include,Easy,Multi-select from services table,1 day
Customer - Appointment,Location Filter,Filter salons by city,Full Support,High,Include,Easy,WHERE city = ?,1 day
Customer - Appointment,Salon List,Display available salons,Full Support,High,Include,Easy,Query salons with filters,1 day
Customer - Appointment,Salon Details Navigation,View salon details,Full Support,High,Include,Easy,Navigation with params,0.5 day
Customer - Appointment,Book Directly,Quick booking flow,Full Support,High,Include,Medium,Create appointment record,2 days
Customer - Search,Global Search,Search salons/barbers/services,Full Support,High,Include,Medium,PostgreSQL full-text search,2 days
Customer - Search,Search Results,Display categorized results,Full Support,High,Include,Easy,Query multiple tables,1 day
Customer - Search,Search Filters,Filter by type,Full Support,Medium,Include,Easy,WHERE clauses,1 day
Customer - Search,Recent Searches,Store recent searches,Full Support,Low,Add Later,Easy,Store in user preferences,1 day
Customer - Salon Details,Salon Information,Display salon details,Full Support,High,Include,Easy,Query single salon,1 day
Customer - Salon Details,Staff List,Show all barbers,Full Support,High,Include,Easy,Query staff by salon_id,1 day
Customer - Salon Details,Service Selection,Select services from salon,Full Support,High,Include,Easy,Multi-select services,1 day
Customer - Salon Details,Working Hours,Display schedule,Full Support,Medium,Include,Easy,Query salon hours,1 day
Customer - Salon Details,Portfolio Posts,Show salon work photos,Full Support,Medium,Include,Easy,Query posts by salon_id,1 day
Customer - Salon Details,Reviews,Display customer reviews,Full Support,High,Include,Easy,Query reviews with JOIN,1 day
Customer - Bookings,View My Bookings,Display user bookings,Full Support,High,Include,Easy,Query appointments by user_id,1 day
Customer - Bookings,Upcoming Bookings,Filter upcoming appointments,Full Support,High,Include,Easy,WHERE date >= TODAY(),1 day
Customer - Bookings,Past Bookings,Filter past appointments,Full Support,High,Include,Easy,WHERE date < TODAY(),1 day
Customer - Bookings,Booking Details,View full booking info,Full Support,High,Include,Easy,Query with JOINs,1 day
Customer - Bookings,Cancel Booking,Cancel appointment,Full Support,High,Include,Easy,UPDATE status = cancelled,1 day
Customer - Bookings,Reschedule Booking,Change date/time,Full Support,Medium,Include,Medium,Check availability + UPDATE,2 days
Customer - Bookings,Add Review,Rate service after completion,Full Support,High,Include,Easy,INSERT into reviews table,1 day
Customer - Bookings,Upload Photos,Before/after photos,Partial Support,Low,Add Later,Medium,Use Supabase Storage,2 days
Customer - All Barbers,Display All Staff,Show salon staff list,Full Support,High,Include,Easy,Query staff by salon,1 day
Customer - All Barbers,Staff Status,Available/Busy/Offline,Partial Support,Medium,Simplify,Medium,Need real-time or polling,2 days
